-- Cliffworms Arena quest pack list / Translation by Frank 'Deepfighter' Schwalb 

-- name:        filename of QRC txt file
-- group:       guild group from FactionFile.GuildGroups enum, or social group from FactionFile.SocialGroups enum
-- membership:  N=non-member, M=member, P=prospect, T=Akatosh, A=Arkay, D=Dibella, J=Julianos, K=Kynareth, R=Mara, S=Stendarr, Z=Zenithar
-- minReq:      minimum requirement to be offered the quest: (val < 10) = guild rank / player level, or (val >= 10) = min reputation
-- flag:        0 = nothing, X = adult/nudity, 1 = one time quest
-- notes:

schema: *name, group, membership, minReq, flag, notes

ARENA01, Commoners, N, 0, 0, Lieferung - Gemeines Volk
ARENA02, Commoners, N, 0, 0, Rückholung - Gemeines Volk
ARENA03, Commoners, N, 0, 0, Eskorte - Gemeines Volk
ARENA04, Nobility, N, 0, 0, Lieferung - Adel
ARENA05, Nobility, N, 0, 0, Rückholung - Adel
ARENA06, Nobility, N, 10, 0, Eskorte - Adel
ARENA07, Nobility, N, 15, 0, Monsterjagd - Adel
ARENA08, Nobility, N, 15, 0, Gefangennahme eines Verbrechers - Adel
ARENA09, Nobility, N, 15, 0, Rettung eines Verwandten - Adel
ARENA10, Commoners, N, 0, 0, Verteidigung eines Gasthauses - Gemeines Volk
